Rennen_ID,Fahrer_ID,Position,Status,Konstrukteur_ID
2023_1,max_verstappen,1,Finished,red_bull
2023_1,perez,2,Finished,red_bull
2023_1,alonso,3,Finished,aston_martin
2023_1,sainz,4,Finished,ferrari
2023_1,hamilton,5,Finished,mercedes
2023_1,stroll,6,Finished,aston_martin
2023_1,russell,7,Finished,mercedes
2023_1,bottas,8,Finished,alfa
2023_1,gasly,9,Finished,alpine
2023_1,albon,10,Finished,williams
2023_1,tsunoda,11,Finished,alphatauri
2023_1,sargeant,12,Lapped,williams
2023_1,kevin_magnussen,13,Lapped,haas
2023_1,de_vries,14,Lapped,alphatauri
2023_1,hulkenberg,15,Lapped,haas
2023_1,zhou,16,Lapped,alfa
2023_1,norris,17,Lapped,mclaren
2023_1,ocon,18,Retired,alpine
2023_1,leclerc,19,Retired,ferrari
2023_1,piastri,20,Retired,mclaren
2023_2,perez,1,Finished,red_bull
2023_2,max_verstappen,2,Finished,red_bull
2023_2,alonso,3,Finished,aston_martin
2023_2,russell,4,Finished,mercedes
2023_2,hamilton,5,Finished,mercedes
2023_2,sainz,6,Finished,ferrari
2023_2,leclerc,7,Finished,ferrari
2023_2,ocon,8,Finished,alpine
2023_2,gasly,9,Finished,alpine
2023_2,kevin_magnussen,10,Finished,haas
2023_2,tsunoda,11,Finished,alphatauri
2023_2,hulkenberg,12,Finished,haas
2023_2,zhou,13,Finished,alfa
2023_2,de_vries,14,Finished,alphatauri
2023_2,piastri,15,Finished,mclaren
2023_2,sargeant,16,Finished,williams
2023_2,norris,17,Finished,mclaren
2023_2,bottas,18,Lapped,alfa
2023_2,albon,19,Retired,williams
2023_2,stroll,20,Retired,aston_martin
2023_3,max_verstappen,1,Finished,red_bull
2023_3,hamilton,2,Finished,mercedes
2023_3,alonso,3,Finished,aston_martin
2023_3,stroll,4,Finished,aston_martin
2023_3,perez,5,Finished,red_bull
2023_3,norris,6,Finished,mclaren
2023_3,hulkenberg,7,Finished,haas
2023_3,piastri,8,Finished,mclaren
2023_3,zhou,9,Finished,alfa
2023_3,tsunoda,10,Finished,alphatauri
2023_3,bottas,11,Finished,alfa
2023_3,sainz,12,Finished,ferrari
2023_3,gasly,13,Finished,alpine
2023_3,ocon,14,Finished,alpine
2023_3,de_vries,15,Finished,alphatauri
2023_3,sargeant,16,Finished,williams
2023_3,kevin_magnussen,17,Finished,haas
2023_3,russell,18,Retired,mercedes
2023_3,albon,19,Retired,williams
2023_3,leclerc,20,Retired,ferrari
2023_4,perez,1,Finished,red_bull
2023_4,max_verstappen,2,Finished,red_bull
2023_4,leclerc,3,Finished,ferrari
2023_4,alonso,4,Finished,aston_martin
2023_4,sainz,5,Finished,ferrari
2023_4,hamilton,6,Finished,mercedes
2023_4,stroll,7,Finished,aston_martin
2023_4,russell,8,Finished,mercedes
2023_4,norris,9,Finished,mclaren
2023_4,tsunoda,10,Finished,alphatauri
2023_4,piastri,11,Finished,mclaren
2023_4,albon,12,Finished,williams
2023_4,kevin_magnussen,13,Finished,haas
2023_4,gasly,14,Finished,alpine
2023_4,ocon,15,Finished,alpine
2023_4,sargeant,16,Finished,williams
2023_4,hulkenberg,17,Lapped,haas
2023_4,bottas,18,Lapped,alfa
2023_4,zhou,19,Retired,alfa
2023_4,de_vries,20,Retired,alphatauri
2023_5,max_verstappen,1,Finished,red_bull
2023_5,perez,2,Finished,red_bull
2023_5,alonso,3,Finished,aston_martin
2023_5,russell,4,Finished,mercedes
2023_5,sainz,5,Finished,ferrari
2023_5,hamilton,6,Finished,mercedes
2023_5,leclerc,7,Finished,ferrari
2023_5,gasly,8,Finished,alpine
2023_5,ocon,9,Finished,alpine
2023_5,kevin_magnussen,10,Finished,haas
2023_5,tsunoda,11,Finished,alphatauri
2023_5,stroll,12,Finished,aston_martin
2023_5,bottas,13,Finished,alfa
2023_5,albon,14,Finished,williams
2023_5,hulkenberg,15,Finished,haas
2023_5,zhou,16,Finished,alfa
2023_5,norris,17,Finished,mclaren
2023_5,de_vries,18,Finished,alphatauri
2023_5,piastri,19,Lapped,mclaren
2023_5,sargeant,20,Lapped,williams
2023_6,max_verstappen,1,Finished,red_bull
2023_6,alonso,2,Finished,aston_martin
2023_6,ocon,3,Finished,alpine
