Fahrer_ID,Name,Nationalität,Geburtsdatum
albon,Alexander,Thai,1996-03-23
alonso,Fernando,Spanish,1981-07-29
bottas,Valtteri,Finnish,1989-08-28
de_vries,Nyck,Dutch,1995-02-06
gasly,Pierre,French,1996-02-07
hamilton,Lewis,British,1985-01-07
hulkenberg,Nico,German,1987-08-19
lawson,Liam,New Zealander,2002-02-11
leclerc,Charles,Monegasque,1997-10-16
kevin_magnussen,Kevin,Danish,1992-10-05
norris,Lando,British,1999-11-13
ocon,Esteban,French,1996-09-17
perez,Sergio,Mexican,1990-01-26
piastri,Oscar,Australian,2001-04-06
ricciardo,Daniel,Australian,1989-07-01
russell,George,British,1998-02-15
sainz,Carlos,Spanish,1994-09-01
sargeant,Logan,American,2000-12-31
stroll,Lance,Canadian,1998-10-29
tsunoda,Yuki,Japanese,2000-05-11
max_verstappen,Max,Dutch,1997-09-30
zhou,Guanyu,Chinese,1999-05-30
antonelli,Andrea Kimi,Italian,2006-08-25
bearman,Oliver,British,2005-05-08
colapinto,Franco,Argentine,2003-05-27
doohan,Jack,Australian,2003-01-20
bortoleto,Gabriel,Brazilian,2004-10-14
hadjar,Isack,French,2004-09-28
