Saison,Runde,Fahrer_ID,Startplatz,Q1,Q2,Q3
2023,1,max_verstappen,1,91295,90503,89708
2023,1,perez,2,91479,90746,89846
2023,1,leclerc,3,91094,90282,90000
2023,1,sainz,4,90993,90515,90154
2023,1,alonso,5,91158,90645,90336
2023,1,russell,6,91057,90507,90340
2023,1,hamilton,7,91543,90513,90384
2023,1,stroll,8,91184,91127,90836
2023,1,ocon,9,91508,90914,90984
2023,1,hulkenberg,10,91204,90809,
2023,1,norris,11,91652,91381,
2023,1,bottas,12,91504,91443,
2023,1,zhou,13,91615,91473,
2023,1,tsunoda,14,91400,92510,
2023,1,albon,15,91461,,
2023,1,sargeant,16,91652,,
2023,1,kevin_magnussen,17,91892,,
2023,1,piastri,18,92101,,
2023,1,de_vries,19,92121,,
2023,1,gasly,20,92181,,
2023,2,perez,1,89244,88635,88265
2023,2,leclerc,2,89376,88903,88420
2023,2,alonso,3,89298,88757,88730
2023,2,russell,4,89592,89132,88857
2023,2,sainz,5,89411,88957,88931
2023,2,stroll,6,89335,88962,88945
2023,2,ocon,7,89707,89255,89078
2023,2,hamilton,8,89689,89374,89223
2023,2,piastri,9,89706,89378,89243
2023,2,gasly,10,89890,89411,89357
2023,2,hulkenberg,11,89547,89451,
2023,2,zhou,12,89654,89461,
2023,2,kevin_magnussen,13,89744,89634,
2023,2,bottas,14,89929,89668,
2023,2,max_verstappen,15,88761,109953,
2023,2,tsunoda,16,89939,,
2023,2,albon,17,89994,,
2023,2,de_vries,18,90244,,
2023,2,norris,19,90447,,
2023,2,sargeant,20,128510,,
2023,3,max_verstappen,1,77384,77056,76732
2023,3,russell,2,77654,77513,76968
2023,3,hamilton,3,77689,77551,77104
2023,3,alonso,4,77832,77283,77139
2023,3,sainz,5,77928,77349,77270
2023,3,stroll,6,77873,77616,77308
2023,3,leclerc,7,78218,77390,77369
2023,3,albon,8,77962,77761,77609
2023,3,gasly,9,78312,77574,77675
2023,3,hulkenberg,10,78029,77412,77735
2023,3,ocon,11,77770,77768,
2023,3,tsunoda,12,78471,78099,
2023,3,norris,13,78243,78119,
2023,3,kevin_magnussen,14,78159,78129,
2023,3,de_vries,15,78450,78335,
2023,3,piastri,16,78517,,
2023,3,zhou,17,78540,,
2023,3,sargeant,18,78557,,
2023,3,bottas,19,78714,,
2023,3,perez,20,,,
2023,4,leclerc,1,101269,101037,100203
2023,4,max_verstappen,2,101398,100822,100391
2023,4,perez,3,101131,101131,100495
2023,4,sainz,4,102197,101016,101016
2023,4,hamilton,5,102113,101177,101177
2023,4,alonso,6,101720,101370,101253
2023,4,norris,7,102154,101485,101281
2023,4,tsunoda,8,102234,101569,101581
2023,4,stroll,9,102524,101576,101611
2023,4,piastri,10,102455,101636,101611
2023,4,russell,11,102073,101654,
2023,4,ocon,12,102622,101798,
2023,4,albon,13,102171,101818,
2023,4,bottas,14,102582,102259,
2023,4,sargeant,15,102242,102395,
2023,4,zhou,16,102642,,
2023,4,hulkenberg,17,102755,,
2023,4,kevin_magnussen,18,103417,,
2023,4,gasly,19,104853,,
2023,4,de_vries,20,115282,,
2023,5,perez,1,87713,87328,86841
2023,5,alonso,2,88179,87097,87202
2023,5,sainz,3,87686,87148,87349
2023,5,kevin_magnussen,4,87809,87673,87767
2023,5,gasly,5,88061,87612,87786
2023,5,russell,6,88086,87743,87804
2023,5,leclerc,7,87713,86964,87861
2023,5,ocon,8,87872,87444,87935
2023,5,max_verstappen,9,87363,86814,
2023,5,bottas,10,87864,87564,
2023,5,albon,11,88234,87795,
2023,5,hulkenberg,12,87945,87903,
2023,5,hamilton,13,87846,87975,
2023,5,zhou,14,88180,88091,
2023,5,de_vries,15,88325,88395,
2023,5,norris,16,88394,,
2023,5,tsunoda,17,88429,,
2023,5,stroll,18,88476,,
2023,5,piastri,19,88484,,
2023,5,sargeant,20,88577,,
2023,6,max_verstappen,1,72386,71908,71365
2023,6,alonso,2,72886,72107,71449
2023,6,leclerc,3,72912,72103,71471
2023,6,ocon,4,72967,72248,71553
2023,6,sainz,5,72717,72210,71630
2023,6,hamilton,6,72872,72156,71725
2023,6,gasly,7,73033,72169,71933
2023,6,russell,8,72769,72151,71964
2023,6,tsunoda,9,72642,72249,72082
2023,6,norris,10,72877,72377,72254
2023,6,piastri,11,73006,72395,
2023,6,de_vries,12,73054,72428,
2023,6,albon,13,72706,72527,
2023,6,stroll,14,72722,72623,
2023,6,bottas,15,73038,72625,
2023,6,sargeant,16,73113,,
2023,6,kevin_magnussen,17,73270,,
2023,6,hulkenberg,18,73279,,
2023,6,zhou,19,73523,,
2023,6,perez,20,73850,,
2023,7,max_verstappen,1,73615,72760,72272
2023,7,sainz,2,73411,72790,72734
2023,7,norris,3,73295,72776,72792
2023,7,gasly,4,73471,73186,72816
2023,7,hamilton,5,72937,72999,72818
2023,7,stroll,6,73766,73082,72994
2023,7,ocon,7,73433,73001,73083
2023,7,hulkenberg,8,73420,73283,73229
2023,7,alonso,9,73747,73098,73507
2023,7,piastri,10,73691,73059,73682
2023,7,perez,11,73874,73334,
2023,7,russell,12,73326,73447,
2023,7,zhou,13,73677,73521,
2023,7,de_vries,14,73581,74083,
2023,7,tsunoda,15,73862,74477,
2023,7,bottas,16,73977,,
2023,7,kevin_magnussen,17,74042,,
2023,7,albon,18,74063,,
2023,7,leclerc,19,74079,,
2023,7,sargeant,20,74699,,
2023,8,max_verstappen,1,80851,79092,85858
2023,8,hulkenberg,2,82730,80305,87102
2023,8,alonso,3,81481,79776,87286
2023,8,hamilton,4,81554,80426,87627
2023,8,russell,5,81798,80098,87893
2023,8,ocon,6,82114,80406,87945
2023,8,norris,7,81998,79347,88046
2023,8,sainz,8,82248,79856,89294
2023,8,piastri,9,82190,79659,91349
2023,8,albon,10,81938,78725,
2023,8,leclerc,11,81843,80615,
2023,8,perez,12,82151,80959,
2023,8,stroll,13,82677,81484,
2023,8,kevin_magnussen,14,82351,81678,
2023,8,bottas,15,82332,81821,
2023,8,tsunoda,16,82746,,
